amount;number;location1;location2;location3
1245;18;Hendaye;Nouvelle-Aquitaine;France
620;9
1040;3;Nouvelle-Aquitaine;Ladaux;France
960;24
6690;136;Centre-Val de Loire;Tours;France
10;1;Lucciana;Corsica;France
1134;70;France;Normandie;Saint-Marcel
1781;46
765;11
5080;45;Auvergne-Rhône-Alpes;Veyrier-du-Lac;France
2172;55;Roanne;Auvergne-Rhone-Alpes;France
300;12
25;3
22;2;Nouvelle-Aquitaine;Aigrefeuille-d'Aunis;France
100;2;Malville;France;Pays de la Loire
10;1;France;Le Mans;Pays de la Loire
10;1;France;Île-de-France;Paris
3615;40
2890;70;France;Mulhouse;Grand Est
475;15;Centre-Val de Loire;Tours;France
190;4;Le Beausset;Provence-Alpes-Côte d'Azur;France
310;15;Damery;Grand Est;France
760;18;France
2110;50
1360;23;Strasbourg;Grand Est;France
1520;84;Hauts-de-France;Marcq-en-Baroeul;France
305;13
2410;28;France;Île-de-France;Paris
110;4;Bourgogne-Franche-Comté;Bavans;France
18647;297;Bry-sur-Marne;Île-de-France;France
25;2
155;10;Nouvelle-Aquitaine;Montussan;France
240;8;Argenteuil;Île-de-France;France
1895;38
420;10;France
170;7;France;Haguenau;Grand Est
335;14;France;Île-de-France;Saint-Cloud
7617;288;Castres;Occitanie;France
3790;42
280;10;France
120;7;France;Auvergne-Rhone-Alpes;Lyon
100;1;Cavaillon;Provence-Alpes-Côte d'Azur;France
1141;21;Cavaillon;Provence-Alpes-Côte d'Azur;France
420;7;France;Île-de-France;Paris
1270;28;France
815;25;Auvergne-Rhône-Alpes;Moirans;France
399;19
279;15;Saint-Benoit-sur-Seine;Grand Est;France
905;29;Aurillac;Auvergne-Rhone-Alpes;France
11985;279;Brest;Bretagne;France
20;1;Wallonia;Arlon;Belgium
1182;42;Auvergne-Rhône-Alpes;France;Grenoble
60;2;Auvergne-Rhone-Alpes;Firminy;France
2160;52;France;Grand Est;Schiltigheim
870;30;Redon;Bretagne;France
495;12
8615;156;Monticello;Corsica;France
2910;104;Franconville;Île-de-France;France
80;3;Cluses;Auvergne-Rhone-Alpes;France
81;4
1270;32
1967;55;Île-de-France;Noisy-le-Grand;France
1;1;Monaco
100;1;Bourgogne-Franche-Comte;Louhans;France
458;8;Angoulême;Nouvelle-Aquitaine;France
20;1
15;3
140;5;France;Île-de-France;Paris
336;13;Rennes;Bretagne;France
130;4;Toulon;Provence-Alpes-Côte d'Azur;France
25130;488;France;Provence-Alpes-Côte d'Azur;Marseille
455;33;Dieppe;Normandie;France
95;6;Nouvelle-Aquitaine;Bordeaux;France
2480;71;France;Mulhouse;Grand Est
10;1;Cambo-les-Bains;Nouvelle-Aquitaine;France
225;6
780;13
1410;35;France
450;14;Sartrouville;Île-de-France;France
240;7;France;Nouvelle-Aquitaine;Pessac
950;16
270;12;Watten;Hauts-de-France;France
180;4
580;4;Togo
1295;45;Mont-de-Marsan;Nouvelle-Aquitaine;France
530;18
825;29;France;Hauts-de-France;Valenciennes
560;13
1;1
70;2;Île-de-France;Le Blanc-Mesnil;France
900;20;Les Pavillons-sous-Bois;Île-de-France;France
250;4;Woippy;Grand Est;France
900;18
315;10;Nice;Provence-Alpes-Côte d'Azur;France
170;5;Charenton-le-Pont;Île-de-France;France
27;6;Feyzin;Auvergne-Rhone-Alpes;France
10;1;Carpentras;Provence-Alpes-Côte d'Azur;France
70;2;Bourg-en-Bresse;Auvergne-Rhône-Alpes;France
450;16;France;Auvergne-Rhone-Alpes;Lyon
60;2;Espagne;Communauté de Madrid;Madrid
2300;55
4805;110;Lourdes;Occitanie;France
100;3
12322;300;Toulouse;Occitanie;France
230;6
430;9
620;24;Sarrebourg;Grand Est;France
70;2
690;23
110;2;France;Île-de-France;Coulommiers
20;2
50;2;France;Étaples;Hauts-de-France
192;4;Sainte-Clotilde;Réunion
4215;64;Meaux;Île-de-France;France
40;1
20;2;France;Auvergne-Rhone-Alpes;Meyzieu
127;6
