company;status;longitude;latitude
2U;Freeze;-97.241135;37.650724
3m;Freeze;-122.233;47.355302
7-11;Hiring;-96.171895;37.293674
22nd century technologies ;Freeze;-75.876305;39.729252
AAA;Freeze;-83.709998;43.449984
AARP;Hiring;-76.061282;39.784791
ABB;Freeze;-74.155738;40.538043
Able;Hiring;-95.310183;29.761046
ABM;Hiring;-92.872545;35.681105
ABS;Freeze;-121.332963;38.267136
academy;Hiring;-95.810618;36.596659
Accenture;Hiring;-98.177196;29.986504
Accruent;Freeze;-95.495837;37.637057
AcctTwo;Freeze;-96.12175;31.380052
Ace ;Freeze;-122.444169;37.704749
Acoustic;Hiring;-71.535685;41.966512
Acuity;Hiring;-73.981929;40.762351
Acumen;Freeze;-77.121778;38.99952
acxiom;Hiring;-94.618167;34.436695
Adecco;Hiring;-83.604422;42.851295
Adidas;Freeze;-95.256107;37.885109
admiral;Hiring;-72.590342;41.992941
Aegion;Hiring;-93.21035;34.482273
Aerotek;Hiring;-83.70531;41.908515
Agilent Technologies;Freeze;-105.083664;39.810674
Agio;Freeze;-91.959321;38.646236
AIG;Freeze;-122.249088;47.67677
Airgas;Freeze;-95.57279;36.830223
Albert;Hiring;-91.804888;39.004884
Aldi;Hiring;-96.649956;36.885157
aldo;Freeze;-95.236519;37.552478
Alight;Freeze;-87.776567;42.037166
Allegion ;Hiring;-95.680283;39.435559
Allegis Group;Hiring;-96.46378;37.044114
ALLIED IRISH BANKS;Hiring;-79.497654;39.936653
Allied Universal Security;Hiring;-83.385488;42.039438
Allset;Hiring;-96.181297;38.57554
Allstate;Hiring;-92.245606;38.772989
Alma;Hiring;-80.990657;66.70974
ALTO Network;Hiring;106.814005;-6.216335
Altus Group;Hiring;-96.360389;31.376506
Alvarez and Marsal;Freeze;-91.881902;35.985338
Alvarez and marsal;Hiring;-91.881902;35.985338
AMBOSS;Hiring;-73.988124;40.732542
AMC Entertainment;Freeze;-106.341328;31.817432
Ameren;Freeze;-90.969012;38.725596
American Cancer Society;Freeze;-82.154131;29.296278
American Eagle Outfitters;Freeze;-95.028282;36.576409
American Family Insurance;Hiring;-95.664421;37.128636
