country,country_code,num_pop,latitude,longitude,population,num
Afghanistan,AFG,0.32,33,66,34656032,11089
Angola,AGO,1.3123,-12.5,18.5,28813463,37811
Albania,ALB,3.5998,41,20,2876101,10353
Andorra,AND,4.0128,42.5,1.5,77281,310
United Arab Emirates,ARE,5.5857,24,54,9269612,51777
Argentina,ARG,2.58,-34,-64,43847430,113126
Armenia,ARM,5.6094,40,45,2924816,16406
Antigua and Barbuda,ATG,3.1176,17.05,-61.8,100963,314
Australia,AUS,12.6612,-25,135,24127159,305478
Austria,AUT,8.1778,47.333333,13.333333,8747358,71534
Azerbaijan,AZE,6.9621,40.5,47.5,9762274,67965
Burundi,BDI,0.68,-3.5,30,10524117,7156
Belgium,BEL,11.1011,50.833333,4,11348159,125977
Benin,BEN,0.6145,9.5,2.25,10872298,6681
Burkina Faso,BFA,0.5696,13,-2,18646433,10621
Bangladesh,BGD,0.3067,24,90,162951560,49977
Bulgaria,BGR,5.3029,43,25,7127822,37798
Bahrain,BHR,2.4944,26,50.5,1425171,3554
Bosnia and Herzegovina,BIH,6.2998,44.25,17.833333,3516816,22155
Belarus,BLR,11.4383,53,28,9507120,108745
Belize,BLZ,1.6947,17.25,-88.75,366954,621
Bolivia,BOL,0.7357,-17,-65,10887882,8010
Brazil,BRA,9.7083,-10,-55,207652865,2015956
Barbados,BRB,6.0273,13.166667,-59.533333,284996,1717
Brunei Darussalam,BRN,6.6012,4.5,114.666667,423196,2793
Bhutan,BTN,1.5094,27.5,90.5,797765,1204
Botswana,BWA,3.3004,-22,24,2250260,7426
Central African Republic,CAF,0.2039,7,21,4594621,936
Canada,CAN,9.9056,60,-96,36286425,359438
Switzerland,CHE,17.2828,47,8,8372098,144693
Chile,CHL,0.86,-30,-71,17909754,15402
China,CHN,2.3073,30.596069,114.297691,1378665000,3180993
Cameroon,CMR,0.9337,6,12,23439189,21885
Colombia,COL,1.2627,4,72,48653419,61434
Comoros,COM,0.9214,-12.166667,44.25,795601,733
Cabo Verde,CPV,1.2272,16,-24,539560,662
Costa Rica,CRI,0.7957,10,-84,4857274,3864
Cuba,CUB,7.79,22,-79.5,11475982,89397
Cyprus,CYP,5.2517,35,33,1170125,6145
Czech Republic,CZE,8.4071,49.75,15,10561633,88792
Germany,DEU,13.1967,51.5,10.5,82667685,1090940
Djibouti,DJI,0.535,11.5,42.5,942333,504
Dominica,DMA,5.8999,15.5,-61.333333,73543,433
Denmark,DNK,10.3004,56,10,5731118,59032
Dominican Republic,DOM,0.3099,19,-70.666667,10648791,3300
Algeria,DZA,2.24,28,3,40606052,90957
Ecuador,ECU,1.2,-2,-77.5,16385068,19662
Spain,ESP,5.5307,40,-4,46443959,256867
Estonia,EST,6.4526,59,26,1316481,8494
Ethiopia,ETH,0.84,8,38,102403196,86018
Finland,FIN,14.723,64,26,5495096,80904
Fiji,FJI,2.938,-18,178,898760,2640
France,FRA,9.6887,46,2,66896109,648136
Gabon,GAB,2.5806,-1,11.75,1979786,5109
United Kingdom,GBR,8.2878,54,-4,65637239,543988
Georgia,GEO,4.0914,41.999981,43.499905,3719300,15217
Ghana,GHA,1.2,8,-2,28206728,33848
Guinea,GIN,0.3844,11,-10,12395924,4764
Guinea-Bissau,GNB,1.4,12,-15,1815698,2541
Equatorial Guinea,GNQ,0.5,2,10,1221490,610
Greece,GRC,3.3728,39,22,10746740,36246
Grenada,GRD,3.1447,12.116667,-61.666667,107317,337
Guatemala,GTM,0.947,15.5,-90.25,16582469,15703
Guyana,GUY,1.3398,5,-59,773303,1036
Honduras,HND,0.8815,15,-86.5,9112867,8032
Croatia,HRV,8.1134,45.166667,15.5,4170600,33837
Haiti,HTI,0.6804,19,-72.416667,10847334,7380
Hungary,HUN,6.6425,47,20,9817958,65215
Indonesia,IDN,2.0583,-5,120,261115456,537453
India,IND,2.1071,20,77,1324171354,2790161
Ireland,IRL,14.2949,53,-8,4773095,68230
Iraq,IRQ,1.6799,33,44,37202572,62496
Iceland,ISL,15.6806,65,-18,334252,5241
Israel,ISR,5.2044,31.5,34.75,8547100,44482
Italy,ITA,5.8693,42.833333,12.833333,60600590,355683
Jamaica,JAM,1.1397,18.25,-77.5,2881355,3283
Jordan,JOR,3.3886,31,36,9455802,32041
Japan,JPN,11.5184,36,138,126994511,1462773
Kazakhstan,KAZ,8.489,48,68,17797032,151079
Kenya,KEN,1.5421,1,38,48461567,74732
Cambodia,KHM,0.9547,13,105,15762370,15048
Kiribati,KIR,4.8287,-5,-170,114395,552
Kuwait,KWT,6.9694,29.5,47.75,4052584,28244
Lebanon,LBN,2.6448,33.833333,35.833333,6006668,15886
Liberia,LBR,0.1007,6.5,9.5,4613823,464
Libya,LBY,6.7416,25,17,6293253,42426
Sri Lanka,LKA,2.1155,7,81,21203000,44854
Lesotho,LSO,0.6508,-29.5,28.25,2203821,1434
Lithuania,LTU,7.9155,56,24,2872298,22735
Luxembourg,LUX,12.3496,49.75,6.166667,582972,7199
Latvia,LVA,4.8155,57,25,1960424,9440
Morocco,MAR,1.0979,32,-5,35276786,38730
Monaco,MCO,20.2625,43.733333,7.4,38499,780
Madagascar,MDG,0.1059,-20,47,24894551,2636
Maldives,MDV,3.9504,3.2,73,417492,1649
Mexico,MEX,2.9,23,-102,127540423,369867
Marshall Islands,MHL,3.5484,10,167,53066,188
Mali,MLI,0.382,17,-4,17994837,6874
Malta,MLT,8.95,35.916667,14.433333,436947,3910
Myanmar,MMR,0.9794,22,98,52885223,51795
Montenegro,MNE,5.7179,42.5,19.3,622781,3560
Mongolia,MNG,3.9846,46,105,3027398,12062
Mozambique,MOZ,0.4436,-18.25,35,28829476,12788
Mauritania,MRT,1.0341,20,-12,4301018,4447
Mauritius,MUS,3.3831,-20.3,57.583333,1263473,4274
Malawi,MWI,0.2528,-13.5,34,18091575,4573
Malaysia,MYS,4.0718,2.5,112.5,31187265,126988
Namibia,NAM,2.775,-22,17,2479713,6881
Niger,NER,0.3109,16,8,20672987,6427
Nigeria,NGA,1.4524,10,8,185989640,270131
Nicaragua,NIC,1.5775,13,-85,6149928,9701
Netherlands,NLD,11.1043,52.5,5.75,17018408,188977
Norway,NOR,18.1247,62,10,5232929,94845
Nepal,NPL,2.6854,28,84,28982771,77830
Nauru,NRU,6.1947,-0.533333,166.916667,13049,80
New Zealand,NZL,10.955,-42,174,4692700,51408
Oman,OMN,4.3004,21,57,4424762,19028
Pakistan,PAK,0.5004,30,70,193203476,96679
Panama,PAN,1.41,9,-80,4034119,5688
Peru,PER,1.35,-10,-76,31773839,42894
Philippines,PHL,0.24,13,122,103320222,24796
Palau,PLW,5.2607,6,134,21503,113
Papua New Guinea,PNG,0.5125,-6,147,8084991,4143
Poland,POL,5.7221,52,20,37948016,217142
Portugal,PRT,6.3725,39.5,-8,10324611,65793
Paraguay,PRY,1.1669,-22.993333,-57.996389,6725308,7847
Qatar,QAT,6.6028,25.5,51.25,2569804,16967
Romania,ROU,6.0979,46,25,19705301,120160
Russian Federation,RUS,8.6212,60,100,144342396,1244404
Rwanda,RWA,0.8307,-2,30,11917508,9899
Saudi Arabia,SAU,5.7,25,45,32275687,183971
Sudan,SDN,0.83,16,30,39578828,32850
Senegal,SEN,0.3129,14,-14,15411614,4822
Singapore,SGP,7.2141,1.366667,103.8,5607283,40451
Solomon Islands,SLB,2.1307,-8,159,599419,1277
Sierra Leone,SLE,0.9962,8.5,-11.5,7396190,7368
El Salvador,SLV,2.278,13.833333,-88.916667,6344722,14453
San Marino,SMR,8.7768,43.933333,12.416667,33203,291
Somalia,SOM,0.0611,6,48,14317996,874
Serbia,SRB,6.1203,44,21,7057412,43193
Sao Tome and Principe,STP,2.26,1,7,199910,451
Suriname,SUR,4.0983,4,-56,558368,2288
Slovenia,SVN,9.68,46.25,15.166667,2064845,19987
Sweden,SWE,11.5434,62,15,9903122,114315
Seychelles,SYC,3.2613,-4.583333,55.666667,94677,308
Syrian Arab Republic,SYR,1.46,35,38,18430453,26908
Chad,TCD,0.3637,15,19,14452543,5256
Togo,TGO,0.298,8,1.166667,7606374,2266
Thailand,THA,2.9647,15,100,68863514,204159
Tajikistan,TJK,5.233,39,71,8734951,45709
Turkmenistan,TKM,4.6306,40,60,5662544,26220
Timor-Leste,TLS,1.6701,-8.833333,125.75,1268671,2118
Tonga,TON,3.932,-20,-175,107122,421
Trinidad and Tobago,TTO,3.5093,11,-61,1364962,4790
Tunisia,TUN,2.6351,34,9,11403248,30048
Turkey,TUR,2.6304,39.059012,34.911546,79512426,209149
Tuvalu,TUV,3.7615,-8,178,11097,41
Tanzania,TZA,0.4126,-6,35,55572201,22929
Uganda,UGA,0.6303,2,33,41487965,26149
Ukraine,UKR,7.0576,49,32,45004645,317624
Uruguay,URY,1.9299,-33,-56,3444006,6646
United States of America,USA,8.55,39.828175,-98.5795,323127513,2762740
Uzbekistan,UZB,12.0739,41.707542,63.84911,31848200,384531
Vietnam,VNM,1.4321,16.166667,107.833333,92701100,132757
Vanuatu,VUT,1.3853,-16,167,270402,374
Samoa,WSM,1.8565,-13.803096,-172.178309,195125,362
South Africa,ZAF,3.5171,-30,26,55908865,196637
Zambia,ZMB,0.8925,-15,30,16591390,14807
Zimbabwe,ZWE,1.1546,-19,29,16150362,18647
