country,country_code,num_pop,latitude,longitude
Afghanistan,AFG,0.32,33,66
Angola,AGO,1.3123,-12.5,18.5
Albania,ALB,3.5998,41,20
Andorra,AND,4.0128,42.5,1.5
United Arab Emirates,ARE,5.5857,24,54
Argentina,ARG,2.58,-34,-64
Armenia,ARM,5.6094,40,45
Antigua and Barbuda,ATG,3.1176,17.05,-61.8
Australia,AUS,12.6612,-25,135
Austria,AUT,8.1778,47.333333,13.333333
Azerbaijan,AZE,6.9621,40.5,47.5
Burundi,BDI,0.68,-3.5,30
Belgium,BEL,11.1011,50.833333,4
Benin,BEN,0.6145,9.5,2.25
Burkina Faso,BFA,0.5696,13,-2
Bangladesh,BGD,0.3067,24,90
Bulgaria,BGR,5.3029,43,25
Bahrain,BHR,2.4944,26,50.5
Bosnia and Herzegovina,BIH,6.2998,44.25,17.833333
Belarus,BLR,11.4383,53,28
Belize,BLZ,1.6947,17.25,-88.75
Bolivia,BOL,0.7357,-17,-65
Brazil,BRA,9.7083,-10,-55
Barbados,BRB,6.0273,13.166667,-59.533333
Brunei Darussalam,BRN,6.6012,4.5,114.666667
Bhutan,BTN,1.5094,27.5,90.5
Botswana,BWA,3.3004,-22,24
Central African Republic,CAF,0.2039,7,21
Canada,CAN,9.9056,60,-96
Switzerland,CHE,17.2828,47,8
Chile,CHL,0.86,-30,-71
China,CHN,2.3073,30.596069,114.297691
Cameroon,CMR,0.9337,6,12
Colombia,COL,1.2627,4,72
Comoros,COM,0.9214,-12.166667,44.25
Cabo Verde,CPV,1.2272,16,-24
Costa Rica,CRI,0.7957,10,-84
Cuba,CUB,7.79,22,-79.5
Cyprus,CYP,5.2517,35,33
Czech Republic,CZE,8.4071,49.75,15
Germany,DEU,13.1967,51.5,10.5
Djibouti,DJI,0.535,11.5,42.5
Dominica,DMA,5.8999,15.5,-61.333333
Denmark,DNK,10.3004,56,10
Dominican Republic,DOM,0.3099,19,-70.666667
Algeria,DZA,2.24,28,3
Ecuador,ECU,1.2,-2,-77.5
Eritrea,ERI,0.6492,15,39
Spain,ESP,5.5307,40,-4
Estonia,EST,6.4526,59,26
Ethiopia,ETH,0.84,8,38
Finland,FIN,14.723,64,26
Fiji,FJI,2.938,-18,178
France,FRA,9.6887,46,2
Gabon,GAB,2.5806,-1,11.75
United Kingdom,GBR,8.2878,54,-4
Georgia,GEO,4.0914,41.999981,43.499905
Ghana,GHA,1.2,8,-2
Guinea,GIN,0.3844,11,-10
Guinea-Bissau,GNB,1.4,12,-15
Equatorial Guinea,GNQ,0.5,2,10
Greece,GRC,3.3728,39,22
Grenada,GRD,3.1447,12.116667,-61.666667
Guatemala,GTM,0.947,15.5,-90.25
Guyana,GUY,1.3398,5,-59
Honduras,HND,0.8815,15,-86.5
Croatia,HRV,8.1134,45.166667,15.5
Haiti,HTI,0.6804,19,-72.416667
Hungary,HUN,6.6425,47,20
Indonesia,IDN,2.0583,-5,120
India,IND,2.1071,20,77
Ireland,IRL,14.2949,53,-8
Iraq,IRQ,1.6799,33,44
Iceland,ISL,15.6806,65,-18
Israel,ISR,5.2044,31.5,34.75
Italy,ITA,5.8693,42.833333,12.833333
Jamaica,JAM,1.1397,18.25,-77.5
